Jurisdicción,CUE Anexo,Nombre,Sector,Estado,Ámbito,Domicilio,CP,Teléfono,Código Localidad,Localidad,Departamento,E-mail,Ed. Común,Ed. Especial,Ed. de Jóvenes y Adultos,Ed. Artística,Ed. Hospitalaria Domiciliaria,Ed. Intercultural Bilingüe,Ed. Contexto de Encierro,Jardín maternal,Jardín de infantes,Primaria,Secundaria,Secundaria Técnica (INET),Superior no Universitario,Superior No Universitario (INET),dpto_link,Address,Address_2,Address_3
Buenos Aires,60003000,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 JULIO STEVERLYNCK,Estatal,Activo,Urbano,PADRE INGLÉS 1585  ,6706,49-4996,6497022,JAUREGUI,LUJAN,secundaria2lujan@gmail.com; mm063002@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06497,"PADRE INGLÉS 1585  , JAUREGUI, LUJAN, Buenos Aires, Argentina","PADRE INGLÉS 1585  , JAUREGUI, LUJAN, Buenos Aires, Argentina","PADRE INGLÉS 1585, LUJAN, Buenos Aires, Argentina"
Buenos Aires,60006900,ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1,Estatal,Activo,Urbano,LARREA 1651  EL PORTEÑO,1865,False,6778008,SAN VICENTE,SAN VICENTE,secretaria.eesa1sv@gmail.com; oma0990001@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,True,False,False,06778,"LARREA 1651  EL PORTEÑO, SAN VICENTE, SAN VICENTE, Buenos Aires, Argentina","LARREA 1651  EL PORTEÑO, SAN VICENTE, SAN VICENTE, Buenos Aires, Argentina","LARREA 1651, SAN VICENTE, Buenos Aires, Argentina"
Buenos Aires,60011000,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 MANUEL MATEO,Estatal,Activo,Urbano,QUINTANA E/ PESOA Y SAAVEDRA 129  ,1865,48-1281,6778008,SAN VICENTE,SAN VICENTE,tecnica2sanvicente@outlook.com; mt099002@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,True,False,False,06778,"QUINTANA E/ PESOA Y SAAVEDRA 129  , SAN VICENTE, SAN VICENTE, Buenos Aires, Argentina","QUINTANA 129  , SAN VICENTE, SAN VICENTE, Buenos Aires, Argentina","QUINTANA 129, SAN VICENTE, Buenos Aires, Argentina"
Buenos Aires,60018600,ESCUELA SECUNDARIA Nº5 DR. BERNARDO DE MONTEAGUDO,Estatal,Activo,Urbano,ESPORA E/ V. DE LA PLAZA Y MONTEAGUDO 265  SAN MARTIN,1672,4755-2089,6371027,VILLA LYNCH,GENERAL SAN MARTIN,ees5bernardomonteagudo@gmail.com,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06371,"ESPORA E/ V. DE LA PLAZA Y MONTEAGUDO 265  SAN MARTIN, VILLA LYNCH, GENERAL SAN MARTIN, Buenos Aires, Argentina","ESPORA 265  SAN MARTIN, VILLA LYNCH, GENERAL SAN MARTIN, Buenos Aires, Argentina","ESPORA 265, GENERAL SAN MARTIN, Buenos Aires, Argentina"
Buenos Aires,60021600,ESCUELA SECUNDARIA Nº1 BRIGADIER GRAL. JUAN F. QUIROGA,Estatal,Activo,Urbano,AV. REMIGIO LOPEZ 2551  ,1663,4455-0811,6760005,SAN MIGUEL,SAN MIGUEL,mm131001@abc.gov.ar; mm131001@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06760,"AV. REMIGIO LOPEZ 2551  , SAN MIGUEL, SAN MIGUEL, Buenos Aires, Argentina","AV. REMIGIO LOPEZ 2551  , SAN MIGUEL, SAN MIGUEL, Buenos Aires, Argentina","AV. REMIGIO LOPEZ 2551, SAN MIGUEL, Buenos Aires, Argentina"
Buenos Aires,60045200,ESCUELA SECUNDARIA Nº22 ROSARIO VERA PEÑALOZA,Estatal,Activo,Urbano,BALCARCE 3469  ,1653,5197871,6371004,CIUDAD VILLA BALLESTER,GENERAL SAN MARTIN,0045ms0022@gmail.com,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06371,"BALCARCE 3469  , CIUDAD VILLA BALLESTER, GENERAL SAN MARTIN, Buenos Aires, Argentina","BALCARCE 3469  , CIUDAD VILLA BALLESTER, GENERAL SAN MARTIN, Buenos Aires, Argentina","BALCARCE 3469, GENERAL SAN MARTIN, Buenos Aires, Argentina"
Buenos Aires,60046700,ESCUELA POLIMODAL Nº23 ADOLFO SALDIAS,Estatal,Activo,Urbano,ANDRES FERREYRA 1196  ,1706,46599371,6568003,HAEDO,MORON,biblioteca_23@yahoo.com.ar; mm100023@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06568,"ANDRES FERREYRA 1196  , HAEDO, MORON, Buenos Aires, Argentina","ANDRES FERREYRA 1196  , HAEDO, MORON, Buenos Aires, Argentina","ANDRES FERREYRA 1196, MORON, Buenos Aires, Argentina"
Buenos Aires,60162400,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 ALEMANIA,Estatal,Activo,Urbano,PACIFICO RODRIGUEZ 5650  ,1653,4767-6574,6371004,CIUDAD VILLA BALLESTER,GENERAL SAN MARTIN,eest2alemaniasm@gmail.com; mt045002@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,True,False,False,06371,"PACIFICO RODRIGUEZ 5650  , CIUDAD VILLA BALLESTER, GENERAL SAN MARTIN, Buenos Aires, Argentina","PACIFICO RODRIGUEZ 5650  , CIUDAD VILLA BALLESTER, GENERAL SAN MARTIN, Buenos Aires, Argentina","PACIFICO RODRIGUEZ 5650, GENERAL SAN MARTIN, Buenos Aires, Argentina"
Buenos Aires,60164300,ESCUELA SECUNDARIA Nº1,Estatal,Activo,Urbano,AVDA. MITRE E/ ELIZALDE Y OBLIGADO 2125  SARANDI,1872,4205-4397,6035001,AVELLANEDA,AVELLANEDA,ees1avell@yahoo.com.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06035,"AVDA. MITRE E/ ELIZALDE Y OBLIGADO 2125  SARANDI, AVELLANEDA, AVELLANEDA, Buenos Aires, Argentina","AVDA. MITRE 2125  SARANDI, AVELLANEDA, AVELLANEDA, Buenos Aires, Argentina","AVDA. MITRE 2125, AVELLANEDA, Buenos Aires, Argentina"
Buenos Aires,60241300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 VALENTIN ALSINA,Estatal,Activo,Urbano,JOSE I RUCCI E/ TUYUTI Y R.ESCALADA 958  ,1822,4208-9783,6434008,VALENTIN ALSINA,LANUS,e.e.m.1.lanus@gmail.com; omm1110001@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06434,"JOSE I RUCCI E/ TUYUTI Y R.ESCALADA 958  , VALENTIN ALSINA, LANUS, Buenos Aires, Argentina","JOSE I RUCCI 958  , VALENTIN ALSINA, LANUS, Buenos Aires, Argentina","JOSE I RUCCI 958, LANUS, Buenos Aires, Argentina"
Buenos Aires,60255400,ESCUELA SECUNDARIA ESPECIALIZADA EN ARTE Nº1,Estatal,Activo,Urbano,LUIS TRANGONI E/INDEP. Y VIAS FERROC. 152  ,1838,4281-7247,6260005,LUIS GUILLON,ESTEBAN ECHEVERRIA,poliarteecheverria@gmail.com; omm0300017@abc.gov.ar,True,False,False,True,False,False,False,False,False,False,True,False,False,False,06260,"LUIS TRANGONI E/INDEP. Y VIAS FERROC. 152  , LUIS GUILLON, ESTEBAN ECHEVERRIA, Buenos Aires, Argentina","LUIS TRANGONI 152  , LUIS GUILLON, ESTEBAN ECHEVERRIA, Buenos Aires, Argentina","LUIS TRANGONI 152, ESTEBAN ECHEVERRIA, Buenos Aires, Argentina"
Buenos Aires,60271100,ESCUELA SECUNDARIA Nº3 LEANDRO N ALEN,Estatal,Activo,Urbano,RIO NEGRO E/PALACIOS Y CHUBUT 1340  ,1684,4751-7837,6568002,EL PALOMAR,MORON,escuela3@hotmail.com,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06568,"RIO NEGRO E/PALACIOS Y CHUBUT 1340  , EL PALOMAR, MORON, Buenos Aires, Argentina","RIO NEGRO 1340  , EL PALOMAR, MORON, Buenos Aires, Argentina","RIO NEGRO 1340, MORON, Buenos Aires, Argentina"
Buenos Aires,60272800,ESCUELA SECUNDARIA Nº31 9 DE JULIO,Estatal,Activo,Urbano,COLONIA 2135  ,1765,4486-6742,6427007,ISIDRO CASANOVA,LA MATANZA,giselalopez44@yahoo.com.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06427,"COLONIA 2135  , ISIDRO CASANOVA, LA MATANZA, Buenos Aires, Argentina","COLONIA 2135  , ISIDRO CASANOVA, LA MATANZA, Buenos Aires, Argentina","COLONIA 2135, LA MATANZA, Buenos Aires, Argentina"
Buenos Aires,60278600,ESCUELA SECUNDARIA Nº10 HEROES DE MALVINAS,Estatal,Activo,Urbano,Av.ROSALES E/ MARRASPIN Y VEDOYA 1132  ,1826,4202-4837,6434007,REMEDIOS DE ESCALADA DE SAN MARTIN,LANUS,diezescalada@yahoo.com.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06434,"Av.ROSALES E/ MARRASPIN Y VEDOYA 1132  , REMEDIOS DE ESCALADA DE SAN MARTIN, LANUS, Buenos Aires, Argentina","Av.ROSALES 1132  , REMEDIOS DE ESCALADA DE SAN MARTIN, LANUS, Buenos Aires, Argentina","Av.ROSALES 1132, LANUS, Buenos Aires, Argentina"
Buenos Aires,60282600,ESCUELA SECUNDARIA Nº6,Estatal,Activo,Urbano,WARNES ESQ. MURGUIONDO 3493  ,1822,4218-1978,6434022,VILLA DIAMANTE,LANUS,media6lanus@yahoo.com.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06434,"WARNES ESQ. MURGUIONDO 3493  , VILLA DIAMANTE, LANUS, Buenos Aires, Argentina","WARNES ESQ. MURGUIONDO 3493  , VILLA DIAMANTE, LANUS, Buenos Aires, Argentina","WARNES ESQ. MURGUIONDO 3493, LANUS, Buenos Aires, Argentina"
Buenos Aires,60282601,ANEXO I DE ESCUELA SECUNDARIA Nº6,Estatal,Activo,Urbano,MURGUIONDO E/ TALCAHUANO Y PEDRAZA 2221  VILLA DIAMANTE,1824,4208-5572,6434008,VALENTIN ALSINA,LANUS,esb6lanus@yahoo.com.ar,True,False,True,False,False,False,False,False,False,False,True,False,False,False,06434,"MURGUIONDO E/ TALCAHUANO Y PEDRAZA 2221  VILLA DIAMANTE, VALENTIN ALSINA, LANUS, Buenos Aires, Argentina","MURGUIONDO 2221  VILLA DIAMANTE, VALENTIN ALSINA, LANUS, Buenos Aires, Argentina","MURGUIONDO 2221, LANUS, Buenos Aires, Argentina"
Buenos Aires,60282700,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº4 MARTÍN MIGUEL DE GÜEMES,Estatal,Activo,Urbano,JOSE MARIA MORENO E/OLIDEN Y UCRANIA 2660  ,1824,4218-6765,6434021,VILLA DEL VALLE,LANUS,direccionguemes@gmail.com; mt111004@abc.gov.ar,True,False,True,False,False,False,False,False,False,False,True,True,False,False,06434,"JOSE MARIA MORENO E/OLIDEN Y UCRANIA 2660  , VILLA DEL VALLE, LANUS, Buenos Aires, Argentina","JOSE MARIA MORENO 2660  , VILLA DEL VALLE, LANUS, Buenos Aires, Argentina","JOSE MARIA MORENO 2660, LANUS, Buenos Aires, Argentina"
Buenos Aires,60291800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 LUIS F. LELOIR,Estatal,Activo,Urbano,CALLE 464 ESQ. 19   ,1896,472-1713/4550,6441043,City Bell,LA PLATA,media15ebfl@yhaoo.com.ar; mm001015@abc.gov.ar,True,False,False,False,False,False,False,False,False,False,True,False,False,False,06441,"CALLE 464 ESQ. 19   , City Bell, LA PLATA, Buenos Aires, Argentina","CALLE 464 ESQ. 19   , City Bell, LA PLATA, Buenos Aires, Argentina","CALLE 464 ESQ. 19, LA PLATA, Buenos Aires, Argentina"
